Fecha,TMAX,TMIN,Prec,Fuente,TipoDato,CalidadDato,Emision,Fuente_TMAX,Fuente_TMIN,Fuente_Prec
2026-01-01,32.5,20.8,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-02,29.1,19.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-03,22.0,15.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-04,26.0,11.0,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-05,28.0,14.4,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-06,29.8,17.7,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-07,29.1,18.1,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-08,23.0,15.8,4.8,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-09,22.2,17.5,5.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-10,27.0,17.2,12.3,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-11,33.4,16.3,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-12,36.6,19.2,0.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
2026-01-13,31.0,20.8,4.0,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,Provisional,Provisional_hueco_observaciones,2026-09-04T11:26:43-03:00,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK,OPEN_METEO_ECMWF_IFS_ARCHIVE_FALLBACK
